file,duration_s,der,false_alarm_s,missed_detection_s,confusion_s,total_speech_s,compute_s
RES0179,704.34,1.3513,238.05,95.67,94.1,316.59,15.78
RES0180,577.26,1.7855,241.11,59.02,65.34,204.69,12.11
RES0181,658.16,1.6158,256.43,65.62,92.64,256.65,14.15
RES0182,566.23,1.2537,180.06,60.05,70.04,247.4,12.14
RES0183,710.41,1.3737,248.91,73.56,101.57,308.69,16.35
RES0184,554.2,1.3144,172.14,77.4,64.18,238.69,12.57
RES0185,574.64,1.8948,245.59,56.23,63.71,192.91,12.25
RES0186,532.97,1.6801,213.84,32.15,76.39,191.87,11.59
RES0187,699.4,1.4153,255.04,68.7,111.79,307.72,15.22
RES0188,500.27,1.2305,176.87,48.98,62.73,234.51,10.75
RES0189,751.73,1.6077,323.79,53.46,98.61,295.99,15.42
RES0190,681.16,1.5365,269.81,56.34,100.14,277.44,14.85
RES0191,533.59,1.2407,156.77,65.75,80.6,244.31,12.04
RES0192,730.11,1.2987,249.2,89.98,120.81,354.19,16.12
RES0193,697.39,1.5863,301.04,46.74,120.81,295.41,13.94
RES0194,667.59,2.0275,327.19,41.43,79.08,220.81,14.32
RES0195,662.08,1.6638,271.67,65.83,94.88,259.86,13.87
RES0196,458.57,1.8287,201.88,31.08,58.66,159.47,9.75
RES0197,493.72,1.3667,175.65,45.18,78.24,218.83,9.71
RES0198,441.66,1.5656,176.29,39.1,51.72,170.61,8.9
RES0199,586.3,1.453,218.83,42.05,78.86,233.83,11.43
RES0200,679.36,1.6454,280.35,58.64,93.21,262.67,13.56
RES0201,595.21,1.5214,196.65,85.59,69.44,231.16,11.24
RES0202,756.76,1.8037,321.24,63.22,85.53,260.57,14.57
RES0203,477.04,1.1444,134.99,59.61,47.06,211.18,9.57
RES0204,463.63,1.5978,172.04,58.88,49.04,175.21,9.16
RES0205,489.04,1.2948,154.27,61.64,69.48,220.41,9.73
RES0206,692.38,1.5411,277.36,65.64,90.96,281.6,13.29
RES0207,434.35,1.0932,110.66,45.12,73.84,210.04,8.45
RES0208,656.33,1.9749,292.08,59.99,71.28,214.36,12.08
RES0209,562.52,1.3568,190.08,60.05,77.32,241.34,10.65
RES0210,486.32,1.1714,140.32,77.35,69.3,244.99,9.63
RES0211,608.09,1.4087,196.1,58.38,89.15,243.93,12.42
RES0212,524.82,1.1076,128.37,75.35,97.56,272.02,10.56
RES0213,558.33,1.1694,173.07,75.43,97.99,296.3,10.56
RES0214,537.18,1.0858,138.0,77.88,59.51,253.63,11.02
RES0215,625.37,0.8344,93.39,92.97,146.25,398.6,12.79
RES0216,627.65,1.1825,203.76,73.07,107.78,325.27,11.73
RES0217,513.84,0.9311,136.05,51.74,120.48,331.09,10.44
