cell,model,conversation,bleu,rouge_l,sbert_coherence,bert_f1,summary_chars,summary_tokens,scispacy_entity_recall,medcat_entity_recall
embed_clinicalbert,gpt-oss-120b,RES0073,0.005334142865196,0.1144945188794153,0.45602548122406,0.8148917555809021,7131,1013,0.4603174603174603,0.4347826086956521
embed_clinicalbert,gpt-oss-120b,RES0111,0.0131297028840084,0.1102077687443541,0.4468504786491394,0.7985634207725525,7318,1058,0.4862385321100917,0.5346534653465347
embed_clinicalbert,gpt-oss-120b,RES0143,0.0046378169574628,0.1276803118908382,0.6032892465591431,0.8047526478767395,5309,759,0.4090909090909091,0.4313725490196078
embed_clinicalbert,gpt-oss-120b,RES0155,0.0139328293736856,0.106163163519772,0.4319444596767425,0.793670117855072,8431,1166,0.4335664335664335,0.472
embed_clinicalbert,gpt-oss-120b,RES0168,0.0059955115234729,0.1120689655172413,0.5151090025901794,0.799244225025177,6415,890,0.423728813559322,0.4915254237288136
embed_clinicalbert,gpt-oss-120b,RES0178,0.0053014797909182,0.1428571428571428,0.7554219961166382,0.8033907413482666,5301,745,0.4418604651162791,0.4838709677419355
embed_clinicalbert,gpt-oss-120b,RES0193,0.0148798270182399,0.1288819875776397,0.7407270073890686,0.8109033703804016,6858,1011,0.4353741496598639,0.460431654676259
embed_clinicalbert,gpt-oss-120b,RES0194,0.0130443484771879,0.1215780998389694,0.4850445389747619,0.8009963035583496,6653,939,0.4013157894736842,0.5151515151515151
embed_clinicalbert,gpt-oss-20b,CAR0001,0.0031448893777355,0.1184706515885837,0.6298579573631287,0.800884485244751,4647,661,0.391304347826087,0.3703703703703703
embed_clinicalbert,gpt-oss-20b,CAR0002,0.0049497311945727,0.1160975609756097,0.5083144307136536,0.8062419295310974,6158,867,0.4260869565217391,0.3942307692307692
embed_clinicalbert,gpt-oss-20b,CAR0004,0.022508868722993,0.1234256926952141,0.5023213624954224,0.8039336204528809,3985,576,0.425287356321839,0.4157303370786517
embed_clinicalbert,gpt-oss-20b,CAR0005,0.0155446361783856,0.1311806256306761,0.6853197813034058,0.8054651618003845,4090,597,0.3428571428571428,0.3518518518518518
embed_clinicalbert,gpt-oss-20b,DER0001,0.0033564453857018,0.0883629191321499,0.5198443531990051,0.8026095628738403,5839,854,0.3538461538461538,0.4031007751937984
embed_clinicalbert,gpt-oss-20b,GAS0001,0.0056919345196496,0.1025641025641025,0.547836422920227,0.7933148145675659,5389,770,0.3936170212765957,0.4456521739130434
embed_clinicalbert,gpt-oss-20b,GAS0002,0.0207120363463829,0.1251221896383186,0.4387424290180206,0.7793052196502686,5451,797,0.3814432989690721,0.3883495145631068
embed_clinicalbert,gpt-oss-20b,GAS0003,0.010025131843662,0.1181434599156118,0.3933921754360199,0.7994614839553833,4791,679,0.3861386138613861,0.4042553191489361
embed_clinicalbert,gpt-oss-20b,GAS0004,0.0144154592144788,0.0975359342915811,0.4244685471057892,0.7951172590255737,4633,661,0.2903225806451613,0.3298969072164948
embed_clinicalbert,gpt-oss-20b,GAS0005,0.0025530009845736,0.1215423302598491,0.7285891175270081,0.8033387064933777,4505,645,0.26,0.2580645161290322
embed_clinicalbert,gpt-oss-20b,MSK0003,0.0020932008806046,0.0979174278407015,0.3936107754707336,0.7881648540496826,5275,735,0.3652694610778443,0.3741496598639456
embed_clinicalbert,gpt-oss-20b,MSK0014,0.0098256712793999,0.1250996015936255,0.408813327550888,0.8033930659294128,5696,822,0.391304347826087,0.3272727272727272
embed_clinicalbert,gpt-oss-20b,MSK0016,0.0029790599486948,0.1052944675788221,0.6270243525505066,0.7957474589347839,7188,1017,0.3297872340425531,0.3333333333333333
embed_clinicalbert,gpt-oss-20b,MSK0019,0.0046260845554668,0.1272893772893772,0.5033734440803528,0.7906776070594788,4447,627,0.3426573426573426,0.4166666666666667
embed_clinicalbert,gpt-oss-20b,MSK0028,0.0088405768896202,0.138847858197932,0.5594639182090759,0.7987801432609558,4839,722,0.3352272727272727,0.3694267515923566
embed_clinicalbert,gpt-oss-20b,MSK0031,0.0138288784030375,0.1329055912007332,0.4909389913082123,0.8000930547714233,5191,752,0.3695652173913043,0.3953488372093023
embed_clinicalbert,gpt-oss-20b,MSK0035,0.0136134669410629,0.156479217603912,0.5762913227081299,0.8073690533638,4514,701,0.311377245508982,0.3766233766233766
embed_clinicalbert,gpt-oss-20b,MSK0037,0.0121422020090471,0.1354697742170429,0.6643738150596619,0.8009827136993408,6240,907,0.3575757575757576,0.4258064516129032
embed_clinicalbert,gpt-oss-20b,MSK0038,0.0043977689664394,0.1155433287482806,0.5556567311286926,0.7959769368171692,5268,764,0.3275862068965517,0.3962264150943396
embed_clinicalbert,gpt-oss-20b,MSK0041,0.0150212383263648,0.1475988700564972,0.5016842484474182,0.797093391418457,7160,1089,0.425414364640884,0.4716981132075472
embed_clinicalbert,gpt-oss-20b,RES0007,0.0043035349396964,0.1005856011023079,0.5310100317001343,0.7932820320129395,6077,893,0.3072289156626506,0.3172413793103448
embed_clinicalbert,gpt-oss-20b,RES0008,0.0036434052278668,0.097385955920041,0.3735331892967224,0.7776734828948975,4912,685,0.3333333333333333,0.3563218390804598
embed_clinicalbert,gpt-oss-20b,RES0009,0.0100976642057475,0.1033460398136382,0.4778501987457275,0.7961529493331909,5230,749,0.3511450381679389,0.3053435114503817
embed_clinicalbert,gpt-oss-20b,RES0023,0.0143261261929652,0.0951417004048583,0.4438161253929138,0.7767984867095947,5613,773,0.411214953271028,0.4044943820224719
embed_clinicalbert,gpt-oss-20b,RES0024,0.0064475879465177,0.1269841269841269,0.5247474908828735,0.802207887172699,4339,625,0.3846153846153846,0.3854166666666667
embed_clinicalbert,gpt-oss-20b,RES0027,0.0031220864936156,0.107987505577867,0.5659840106964111,0.7989283204078674,4936,722,0.3422818791946309,0.3732394366197183
embed_clinicalbert,gpt-oss-20b,RES0029,0.0308499404717769,0.1252215002953337,0.4543187022209167,0.799791157245636,5522,799,0.4239130434782608,0.4418604651162791
embed_clinicalbert,gpt-oss-20b,RES0036,0.0070046259699325,0.1048526863084921,0.4274163842201233,0.7955586314201355,5010,719,0.3407407407407407,0.4100719424460431
embed_clinicalbert,gpt-oss-20b,RES0058,0.0101532684931171,0.119298245614035,0.4968055486679077,0.806052565574646,6197,915,0.3767123287671233,0.3660130718954248
embed_clinicalbert,gpt-oss-20b,RES0060,0.0068347932802282,0.1047619047619047,0.5195800065994263,0.8066575527191162,6312,904,0.3699421965317919,0.4496644295302013
embed_clinicalbert,gpt-oss-20b,RES0062,0.013017196458339,0.1224615384615384,0.4405134916305542,0.7972220182418823,7415,1079,0.3189189189189189,0.3666666666666666
embed_clinicalbert,gpt-oss-20b,RES0065,0.0131093248552565,0.1290983606557376,0.5386889576911926,0.8094992637634277,5221,746,0.4152542372881356,0.4423076923076923
embed_clinicalbert,gpt-oss-20b,RES0073,0.0120962529469844,0.1178094799815922,0.401961088180542,0.8033818602561951,4880,710,0.4285714285714285,0.408695652173913
embed_clinicalbert,gpt-oss-20b,RES0111,0.0065147450713065,0.1256436663233779,0.541266918182373,0.803597629070282,5494,794,0.4128440366972477,0.4356435643564356
embed_clinicalbert,gpt-oss-20b,RES0143,0.0028485470082791,0.1141959140911472,0.5684311389923096,0.8033063411712646,4154,614,0.3636363636363636,0.4705882352941176
embed_clinicalbert,gpt-oss-20b,RES0155,0.0055969270556967,0.1123330714846818,0.5363297462463379,0.7925631999969482,6160,882,0.3636363636363636,0.464
embed_clinicalbert,gpt-oss-20b,RES0168,0.0065058604223623,0.1071960297766749,0.4058652818202972,0.7986982464790344,4047,582,0.3728813559322034,0.4152542372881356
embed_clinicalbert,gpt-oss-20b,RES0178,0.0039086167187371,0.1278941565600882,0.7231294512748718,0.7987813353538513,4027,586,0.3255813953488372,0.3306451612903225
embed_clinicalbert,gpt-oss-20b,RES0193,0.010296197989843,0.1380231522707034,0.6345924735069275,0.8112429976463318,4393,660,0.3401360544217687,0.3381294964028777
embed_clinicalbert,gpt-oss-20b,RES0194,0.0093105960695065,0.1191021530004581,0.4455920755863189,0.7966727614402771,4482,651,0.3486842105263157,0.3636363636363636
embed_clinicalbert,medgemma-4b,CAR0001,0.0366662800395571,0.272294887039239,0.6602702736854553,0.808319628238678,2991,486,,
embed_clinicalbert,medgemma-4b,CAR0002,0.01001958015209,0.1360294117647058,0.5985831022262573,0.7975714206695557,2890,448,,
embed_clinicalbert,medgemma-4b,CAR0004,0.0132687966117124,0.1752808988764044,0.5342883467674255,0.8070123791694641,2063,330,,
embed_clinicalbert,medgemma-4b,CAR0005,0.0049752112009187,0.1512805241215009,0.5262013077735901,0.8074755668640137,1882,301,,
embed_clinicalbert,medgemma-4b,DER0001,0.0011641036056307,0.1066935078007045,0.6473701000213623,0.8095036149024963,2084,336,,
embed_clinicalbert,medgemma-4b,GAS0001,0.0004929605319927,0.0971718636693256,0.4374870955944061,0.7888373732566833,1595,233,,
embed_clinicalbert,medgemma-4b,GAS0002,0.0246872455231392,0.1749271137026239,0.4856374263763428,0.7788296341896057,2986,464,,
embed_clinicalbert,medgemma-4b,GAS0003,0.0048921624189401,0.1159600997506234,0.3934077322483063,0.7856819033622742,2640,394,,
embed_clinicalbert,medgemma-4b,GAS0004,0.0210419090182272,0.1813926272674078,0.4222791194915771,0.803865373134613,2619,426,,
embed_clinicalbert,medgemma-4b,GAS0005,0.0201521102516242,0.1244266055045871,0.6786896586418152,0.8051844239234924,10702,1732,,
embed_clinicalbert,medgemma-4b,MSK0003,0.0036295066393973,0.1279601163273785,0.4656802713871002,0.8049207925796509,2602,408,,
embed_clinicalbert,medgemma-4b,MSK0014,0.0025136300365067,0.1490803484995159,0.5384585857391357,0.8140738010406494,2236,361,,
embed_clinicalbert,medgemma-4b,MSK0016,1.4982931102600332e-05,0.0666666666666666,0.6365534663200378,0.8097667694091797,1658,250,,
embed_clinicalbert,medgemma-4b,MSK0019,0.0091585700198057,0.1564524165421026,0.5504639744758606,0.8135693669319153,2819,453,,
embed_clinicalbert,medgemma-4b,MSK0028,0.0101356836394582,0.0832426550598476,0.545254111289978,0.7948365807533264,9058,1655,,
embed_clinicalbert,medgemma-4b,MSK0031,0.0102714735537534,0.1723559037493005,0.5002099275588989,0.8136760592460632,2284,373,,
embed_clinicalbert,medgemma-4b,MSK0035,0.0018123240559849,0.116333178222429,0.5049995183944702,0.7950595617294312,2566,396,,
embed_clinicalbert,medgemma-4b,MSK0038,9.706828623400424e-05,0.084074373484236,0.4431139230728149,0.7947984933853149,2144,334,,
embed_clinicalbert,medgemma-4b,MSK0041,0.0316191028696373,0.2833052276559865,0.5294727087020874,0.807499349117279,3850,644,,
embed_clinicalbert,medgemma-4b,RES0007,0.0023665571463281,0.0917501927525057,0.4905693233013153,0.7924508452415466,3842,586,,
embed_clinicalbert,medgemma-4b,RES0008,0.0057047476065053,0.1188118811881188,0.4434748291969299,0.7975592613220215,2193,342,,
embed_clinicalbert,medgemma-4b,RES0009,0.0051211456419951,0.1286727456940223,0.5564553141593933,0.8030364513397217,2548,397,,
embed_clinicalbert,medgemma-4b,RES0023,0.0051543439808131,0.0482361411087112,0.3837853670120239,0.7703040242195129,9814,1570,,
embed_clinicalbert,medgemma-4b,RES0024,0.0031153307298228,0.1550387596899224,0.3374480307102203,0.8024266362190247,1864,291,,
embed_clinicalbert,medgemma-4b,RES0027,0.0066929425876603,0.1664082687338501,0.4914944469928741,0.8095935583114624,2560,407,,
